Unnamed: 0,precio,titulo_anuncio,tipo_alojamineto,n_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,comunidad,url
3,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/654893739073119129?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172394_OC2h%2F0Gd863Y0vTu&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
7,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/516352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172358_i1mEO%2BZac4Jrhr8K&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
15,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/928579572144105314?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691172355_FDhC%2FzI6ZTd%2BT9X2&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
20,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/728962548658388053?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172370_RT4Doo7e7hHptfKB&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
31,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/22682018?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-20&source_impression_id=p3_1691172390_NVRVDXOCGtKkrBA5&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
33,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/41613697?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691172355_R3Clm7xeYyclawgu&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
39,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/588954089383378919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691172351_EO1S3zjTEbzHhBgt&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
57,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/944012470899596848?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691172345_i3GularLce4FNpQT&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
71,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/27897940?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691172355_iHSSYUrWIW7APkke&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
72,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/949064415839271477?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691172394_6RCAOHvf8H4vHpL9&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
75,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/844116647046997723?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172366_eN7gI2eDqD0s0yaw&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
83,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/30123321?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-09-02&source_impression_id=p3_1691172366_aU9B2ypmtMIxgoHQ&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
85,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/2573526?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-10&source_impression_id=p3_1691172358_sG1R6YBSctl2zpsl&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
88,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/39195000?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-27&check_out=2023-12-02&source_impression_id=p3_1691172386_PWXaVVoR1TH2m76X&previous_page_section_name=1000&federated_search_id=026fff14-55a2-4f8c-a7d2-3faeed006dd7
92,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/40532033?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691172366_JZBfCZ%2FATMkzt97g&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
105,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/32338757?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-15&check_out=2023-09-21&source_impression_id=p3_1691172386_SodMw3ANQcGI76tA&previous_page_section_name=1000&federated_search_id=026fff14-55a2-4f8c-a7d2-3faeed006dd7
106,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/44309679?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691172402_jOoC8k3M0Wen4LJo&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
113,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/702853065783748393?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1691172379_L%2BIsPpEAXbZxFLO%2B&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
117,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/42871330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-10&source_impression_id=p3_1691172355_XoaLTpSWppFd%2FCwt&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
120,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/895000894982313479?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172394_mCTje0Tf0hadkqWa&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
127,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/728962548658388053?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172374_6OyFBSlKkv93gf1e&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
133,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/844116647046997723?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172362_6o5a9H%2FBBa5miH7y&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
142,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/671704289650892058?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691172382_fyTLYhmc6Zy4J3xc&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
144,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/856414008736550323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172374_ElGgRIaeL5wnii1F&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
160,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/33570310?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172345_oGkgYhm%2FaamPkqT1&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
161,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/33982415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691172398_u4W7kRc5NyCqVAPj&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
165,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/51460462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-12&source_impression_id=p3_1691172366_m%2BPcXEMoXcyh2ItN&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
168,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/855512239573844815?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172402_xyrKEME%2FfhQHopHE&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
173,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/852832776042389751?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-27&source_impression_id=p3_1691172379_vTJEXMZVGOveiS4G&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
176,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/14794938?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691172358_GptYxjluHDs%2FLuFV&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
178,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/24350561?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-13&source_impression_id=p3_1691172382_0Sx8LsRziHzadNDT&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
183,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/21907852?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172382_TxQ6AdGK6qGVrJLG&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
185,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/2973360?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-07&check_out=2023-09-12&source_impression_id=p3_1691172362_YmyO8j1CwglJCVUB&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
191,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/48412716?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691172398_Re9lCLDM5DwFLNa2&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
192,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/45746543?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691172345_9ElVISwSdmQSyk4N&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
193,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/899378779979366304?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691172355_ya0qs7cBSG0JxzdI&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
195,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/15562686?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691172402_CE5qWJTK625hKoEs&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
201,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/28606050?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-04&check_out=2023-10-09&source_impression_id=p3_1691172370_h5Xoc9Q3u2jifKXq&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
217,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/586092789955236383?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691172394_hb3d%2FOiLrjS%2BzsC4&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
220,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/23562690?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172374_eOWODJvsRFT8a4pV&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
222,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/949132151055873055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172379_13oQdvMbsMftjhyj&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
233,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/50377958?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-04&source_impression_id=p3_1691172390_s%2FBPRs1crmjr4jqZ&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
239,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/33337026?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172374_VnJ7fHxJtD26n5d2&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
244,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/32583944?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172366_oIxcO80LsYpoe7uM&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
245,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/50986712?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172362_HCUnfaXqAcf2jKv3&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
264,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/826116306543094203?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-13&source_impression_id=p3_1691172390_YsBCdPTeWWVgl%2FDP&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
